David Tuffley	date unknown	0.369047619048
Thomas H. Miles	1992	0.370791819727
Edwin Sha	1996	0.372039554198
Charles Muller	1997	0.373023548476
Yi Wu	1989	0.373023548476
Raghavan Iyer	1983	0.373023548476
Philip J. Ivanhoe	2003	0.374282598523
Ned Ludd	date unknown	0.378807204207
Wenliang Tao	2012	0.379279136015
Patrick E. Moran	1993	0.381246425832
He Guanghu, Gao Shining, Song Lidao and Xu Junyao	1993	0.382379064094
Henry Wei	1982	0.382379064094
Ren Jiyu et al.	1993	0.382379064094
John Louis Albert Trottier	1994	0.382647285286
Tien Cong Tran	2001	0.384868504343
Ha Poong Kim	2003	0.385457666759
Sanderson Beck	1996	0.386356230733
Hermon Ould	1946	0.387657443029
Lionel Giles	1904	0.389668026981
Paul J. Lin	1977	0.390434404722
Gregory C. Richter	1998	0.39396630846
Chou-Wing Chohan, Abe Bellenteen and Rosemary Brant	2002	0.395919262637
Bao Pu	date unknown	0.39678004276
Stephen Addiss and Stanley Lombardo	1993	0.397697454488
Derke Bodde	1937	0.398429862943
Livia Kohn	1993	0.399254683456
John R. Leebrick	1980	0.399254683456
Gia-fu Feng and Jane English	1972	0.410325903324
Tolbert McCarroll	1982	0.423900210841
Victor H. Mair	1990	0.428571428571
John C.H. Wu	1939	0.428571428571
D.C. Lau	1963	0.428571428571
Wing-Tsit Chan	1963	0.434483037878
D.C. Lau2	1989	0.434483037878
Richard Wilhelm	1910	0.440315285926
Michael LaFargue	1992	0.4460712856
Ellen M. Chen	1989	0.4460712856
J.J.L. Duyvendak	1954	0.462910049886
Ch'u Ta-Kao	1937	0.462910049886
Robert Henricks	1989	0.468388466022
Bram den Hond	2003	0.468509481
Tormond Byrn	1997	0.475218305875
Lin Yutang	1942	0.484452141652
Arthur Waley	1934	0.494871659305
